Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 2553,611,2011,112,230,6,13,171,0,0,strong,little,"Airport and Airway Extension Act of 2011, Part IV"
H R 1315,621,2011,112,231,1,10,172,0,0,strong,little,Consumer Financial Protection Safety and Soundness Improvement Act of 2011
H R 2551,629,2011,112,213,16,39,143,0,0,strong,little,"Legislative Branch Appropriations Act, 2012"
H R 1383,638,2011,112,237,0,187,0,0,0,strong,strong,Restoring GI Bill Fairness Act of 2011
H R 1938,650,2011,112,232,3,47,144,0,0,strong,little,North American-Made Energy Security Act
H R 2584,670,2011,112,181,55,0,185,0,0,strong,none,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2012"
H R 440,673,2011,112,216,20,186,0,0,0,strong,strong,To provide for the establishment of the Special Envoy to Promote Religious Freedom of Religious Minorities in the Near East and South Central Asia.
H R 2244,674,2011,112,235,0,183,1,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 67 Castle Street in Geneva, New York, as the ""Corporal Steven Blaine Riccione Post Office""."
S 627,677,2011,112,218,22,0,188,0,0,strong,none,Faster FOIA Act of 2011
H R 2213,678,2011,112,236,0,184,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 801 West Eastport Street in Iuka, Mississippi, as the ""Sergeant Jason W. Vaughn Post Office""."
H R 1975,679,2011,112,234,0,182,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 281 East Colorado Boulevard in Pasadena, California, as the ""First Lieutenant Oliver Goodall Post Office Building""."
H R 1843,680,2011,112,231,3,183,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 489 Army Drive in Barrigada, Guam, as the ""John Pangelinan Gerber Post Office Building""."
H R 2693,682,2011,112,0,235,173,11,0,0,none,strong,Budget Control Act of 2011
H R 2715,683,2011,112,236,0,185,2,0,0,strong,strong,"To provide the Consumer Product Safety Commission with greater authority and discretion in enforcing the consumer product safety laws, and for other purposes."
H R 398,684,2011,112,238,0,188,0,0,0,strong,strong,"To amend the Immigration and Nationality Act to toll, during active-duty service abroad in the Armed Forces, the periods of time to file a petition and appear for an interview to remove the conditional basis for permanent resident status, and for other purposes."
H R 1933,685,2011,112,220,16,187,1,0,0,strong,strong,To amend the Immigration and Nationality Act to modify the requirements for admission of nonimmigrant nurses in health professional shortage areas.
S 365,690,2011,112,174,66,95,95,0,0,strong,moderate,Budget Control Act of 2011
H R 2480,691,2011,112,201,23,181,0,0,0,strong,strong,Administrative Conference of the United States Reauthorization Act of 2011
H R 2076,699,2011,112,204,9,154,0,0,0,strong,strong,Investigative Assistance for Violent Crimes Act of 2012
H R 2633,700,2011,112,222,0,162,0,0,0,strong,strong,Appeal Time Clarification Act of 2011
H R 1059,701,2011,112,223,0,161,0,0,0,strong,strong,"To protect the safety of judges by extending the authority of the Judicial Conference to redact sensitive information contained in their financial disclosure reports, and for other purposes."
H R 2218,705,2011,112,219,13,146,41,0,0,strong,strong,Empowering Parents through Quality Charter Schools Act
H R 2867,709,2011,112,208,21,183,0,0,0,strong,strong,United States Commission on International Religious Freedom Reform and Reauthorization Act of 2011
H R 2587,711,2011,112,230,7,8,179,0,0,strong,little,Protecting Jobs From Government Interference Act
H R 2944,712,2011,112,232,0,183,0,0,0,strong,strong,United States Parole Commission Extension Act of 2011
H R 2189,713,2011,112,214,18,184,0,0,0,strong,strong,Death in Custody Reporting Act of 2011
H R 2646,714,2011,112,228,3,184,0,0,0,strong,strong,Veterans Health Care Facilities Capital Improvement Act of 2011
S 846,718,2011,112,229,2,178,0,0,0,strong,strong,"A bill to designate the United States courthouse located at 80 Lafayette Street in Jefferson City, Missouri, as the Christopher S. Bond United States Courthouse."
H R 2883,720,2011,112,211,25,184,0,0,0,strong,strong,Child and Family Services Improvement and Innovation Act
H R 2401,741,2011,112,230,4,19,165,0,0,strong,little,Transparency in Regulatory Analysis of Impacts on the Nation Act of 2011
H R 686,742,2011,112,226,0,174,0,0,0,strong,strong,Utah National Guard Readiness Act
H R 765,743,2011,112,226,0,168,0,0,0,strong,strong,Ski Area Recreational Opportunity Enhancement Act of 2011
H R 670,744,2011,112,224,0,173,0,0,0,strong,strong,"To convey certain submerged lands to the Commonwealth of the Northern Mariana Islands in order to give that territory the same benefits in its submerged lands as Guam, the Virgin Islands, and American Samoa have in their submerged lands."
H R 2608,745,2011,112,182,53,170,13,0,0,strong,strong,"Continuing Appropriations Act, 2012"
H R 2681,764,2011,112,237,2,25,159,0,0,strong,little,Cement Sector Regulatory Relief Act of 2011
H R 3078,781,2011,112,231,9,31,158,0,0,strong,little,United States-Colombia Trade Promotion Agreement Implementation Act
H R 3079,782,2011,112,234,6,66,123,0,0,strong,moderate,United States-Panama Trade Promotion Agreement Implementation Act
H R 3080,783,2011,112,219,21,59,130,0,0,strong,little,United States-Korea Free Trade Agreement Implementation Act
H R 2832,784,2011,112,118,122,189,0,0,0,moderate,strong,"To extend the Generalized System of Preferences, and for other purposes."
H R 2433,785,2011,112,235,5,183,1,0,0,strong,strong,Veterans Opportunity to Work Act of 2011
H R 358,789,2011,112,236,2,15,170,0,0,strong,little,Protect Life Act
H R 2250,791,2011,112,234,0,41,142,0,0,strong,little,EPA Regulatory Relief Act of 2011
H R 2273,800,2011,112,230,3,37,141,0,0,strong,little,Coal Residuals Reuse and Management Act
H R 320,801,2011,112,224,1,168,0,0,0,strong,strong,Distinguished Flying Cross National Memorial Act
H R 1160,802,2011,112,224,0,171,0,0,0,strong,strong,McKinney Lake National Fish Hatchery Conveyance Act
H R 2447,804,2011,112,237,0,185,0,0,0,strong,strong,To grant the congressional gold medal to the Montford Point Marines.
H R 1904,809,2011,112,228,8,7,178,0,0,strong,little,Southeast Arizona Land Exchange and Conservation Act of 2011
H R 2527,812,2011,112,230,3,186,0,0,0,strong,strong,National Baseball Hall of Fame Commemorative Coin Act
H R 2576,813,2011,112,235,0,27,157,0,0,strong,little,To amend the Internal Revenue Code of 1986 to modify the calculation of modified adjusted gross income for purposes of determining eligibility for certain healthcare-related programs.
S 1280,817,2011,112,234,0,172,0,0,0,strong,strong,Kate Puzey Peace Corps Volunteer Protection Act of 2011
H R 2061,818,2011,112,240,0,185,0,0,0,strong,strong,Civilian Service Recognition Act of 2011
H R 1965,819,2011,112,236,1,184,1,0,0,strong,strong,"To amend the securities laws to establish certain thresholds for shareholder registration, and for other purposes."
H R 1070,820,2011,112,238,0,183,1,0,0,strong,strong,Small Company Capital Formation Act of 2011
H R 2930,825,2011,112,238,0,169,17,0,0,strong,strong,Entrepreneur Access to Capital Act
H R 2940,828,2011,112,238,0,175,11,0,0,strong,strong,Access to Capital for Job Creators Act
H R 3321,831,2011,112,224,0,163,2,0,0,strong,strong,America's Cup Act of 2011
S 1412,837,2011,112,222,0,163,0,0,0,strong,strong,"A bill to designate the facility of the United States Postal Service located at 462 Washington Street, Woburn, Massachusetts, as the ""Officer John Maguire Post Office""."
H R 298,838,2011,112,225,0,166,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 500 East Whitestone Boulevard in Cedar Park, Texas, as the ""Army Specialist Matthew Troy Morris Post Office Building""."
H R 2422,839,2011,112,225,0,165,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 45 Bay Street, Suite 2, in Staten Island, New York, as the ""Sergeant Angel Mendez Post Office""."
H R 2838,841,2011,112,1,235,188,0,0,0,little,strong,Coast Guard and Maritime Transportation Act of 2012
H R 822,852,2011,112,229,7,43,147,0,0,strong,little,National Right-to-Carry Reciprocity Act of 2011
H R 674,853,2011,112,232,0,190,0,0,0,strong,strong,"To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities, to modify the calculation of modified adjusted gross income for purposes of determining eligibility for certain healthcare-related programs, and for other purposes."
H R 2112,857,2011,112,133,101,165,20,0,0,moderate,strong,"Consolidated and Further Continuing Appropriations Act, 2012"
H R 3012,860,2011,112,210,13,179,2,0,0,strong,strong,Fairness for High-Skilled Immigrants Act of 2011
H R 2192,861,2011,112,224,1,183,0,0,0,strong,strong,National Guard and Reservist Debt Relief Extension Act of 2011
H R 1801,862,2011,112,225,0,179,0,0,0,strong,strong,Risk-Based Security Screening for Members of The Armed Forces Act
H R 3094,869,2011,112,229,8,6,180,0,0,strong,little,Workforce Democracy and Fairness Act
H R 3463,873,2011,112,235,1,0,189,0,0,strong,none,To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions and by terminating the Election Assistance Commission.
H R 527,880,2011,112,235,0,28,159,0,0,strong,little,Regulatory Flexibility Improvements Act of 2011
H R 3010,888,2011,112,234,0,19,167,0,0,strong,little,Regulatory Accountability Act of 2011
H R 2471,891,2011,112,227,7,76,109,0,0,strong,moderate,"To amend section 2710 of title 18, United States Code, to clarify that a video tape service provider may obtain a consumer's informed, written consent on an ongoing basis and that consent may be obtained through the Internet."
H R 10,901,2011,112,237,0,4,184,0,0,strong,little,Regulations From the Executive in Need of Scrutiny Act of 2011
H R 1254,904,2011,112,220,16,97,82,0,0,strong,moderate,Synthetic Drug Control Act of 2011
H R 1633,912,2011,112,235,0,33,150,0,0,strong,little,Farm Dust Regulation Prevention Act of 2011
H R 3220,913,2011,112,201,0,150,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 170 Evergreen Square SW in Pine City, Minnesota, as the ""Master Sergeant Daniel L. Fedder Post Office""."
H R 2158,914,2011,112,200,1,153,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 14901 Adelfa Drive in La Mirada, California, as the ""Wayne Grisham Post Office""."
H R 3246,920,2011,112,232,0,183,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 15455 Manchester Road in Ballwin, Missouri, as the ""Specialist Peter J. Navarro Post Office Building""."
S 384,921,2011,112,232,1,185,0,0,0,strong,strong,"A bill to amend title 39, United States Code, to extend the authority of the United States Postal Service to issue a semipostal to raise funds for breast cancer research."
H R 2767,924,2011,112,234,0,186,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 8 West Silver Street in Westfield, Massachusetts, as the ""William T. Trant Post Office Building""."
H R 1905,927,2011,112,233,2,177,9,0,0,strong,strong,Syria Human Rights Accountability Act of 2012
H R 2105,928,2011,112,234,0,184,2,0,0,strong,strong,"Iran, North Korea, and Syria Nonproliferation Reform and Modernization Act of 2011"
H R 3421,929,2011,112,231,0,185,0,0,0,strong,strong,Fallen Heroes of 9/11 Act
H R 1264,930,2011,112,232,1,186,0,0,0,strong,strong,"To designate the property between the United States Federal Courthouse and the Ed Jones Building located at 109 South Highland Avenue in Jackson, Tennessee, as the ""M.D. Anderson Plaza"" and to authorize the placement of a historical/identification marker on the grounds recognizing the achievements and philanthropy of M.D. Anderson."
H R 1540,932,2011,112,190,43,93,93,0,0,strong,moderate,National Defense Authorization Act for Fiscal Year 2012
H R 886,934,2011,112,229,1,183,0,0,0,strong,strong,United States Marshals Service 225th Anniversary Commemorative Coin Act
H R 2719,935,2011,112,233,0,183,0,0,0,strong,strong,Rattlesnake Mountain Public Access Act of 2011
H R 443,936,2011,112,226,4,181,0,0,0,strong,strong,"To provide for the conveyance of certain property from the United States to the Maniilaq Association located in Kotzebue, Alaska."
H R 1892,939,2011,112,230,4,166,19,0,0,strong,strong,Intelligence Authorization Act for Fiscal Year 2012
S 278,940,2011,112,231,0,182,0,0,0,strong,strong,Sugar Loaf Fire Protection District Land Exchange Act of 2011
H R 2055,941,2011,112,147,86,149,35,0,0,moderate,strong,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2012"
H R 3672,943,2011,112,169,66,182,1,0,0,strong,strong,"Disaster Relief Appropriations Act, 2012"
H R 3630,948,2011,112,2,234,181,4,0,0,little,strong,Unemployment Benefits Extension Act of 2012
H R 3117,5,2012,112,214,1,159,0,0,0,strong,strong,Permanent Electronic Duck Stamp Act of 2012
H R 1141,6,2012,112,116,100,162,0,0,0,moderate,strong,Rota Cultural and Natural Resources Study Act
H R 2070,8,2012,112,233,0,153,26,0,0,strong,strong,World War II Memorial Prayer Act of 2011
H R 3801,11,2012,112,227,0,181,0,0,0,strong,strong,Ultralight Aircraft Smuggling Prevention Act of 2012
H R 1173,18,2012,112,239,0,28,159,0,0,strong,little,Fiscal Responsibility and Retirement Security Act of 2011
H R 3835,19,2012,112,237,2,72,115,0,0,strong,moderate,To extend the pay limitation for Members of Congress and Federal employees.
H R 3567,20,2012,112,236,1,159,26,0,0,strong,strong,WIN for Children and Families Act
H R 3582,30,2012,112,238,0,4,179,0,0,strong,little,Pro-Growth Budgeting Act of 2011
H R 3581,42,2012,112,238,2,7,178,0,0,strong,little,Budget and Accounting Transparency Act of 2011
S 2038,47,2012,112,232,2,185,0,0,0,strong,strong,Public Corruption Prosecution Improvements Act of 2012
H R 2079,52,2012,112,233,2,185,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 10 Main Street in East Rockaway, New York, as the ""John J. Cook Post Office""."
H R 3247,53,2012,112,235,0,184,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1100 Town and Country Commons in Chesterfield, Missouri, as the ""Lance Corporal Matthew P. Pathenos Post Office Building""."
H R 3248,54,2012,112,233,0,179,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 112 South 5th Street in Saint Charles, Missouri, as the ""Lance Corporal Drew W. Weaver Post Office Building""."
H R 3408,71,2012,112,216,21,21,166,0,0,strong,little,"Resources and Ecosystems Sustainability, Tourist Opportunities, and Revived Economies of the Gulf Coast States Act of 2012"
H R 2117,79,2012,112,234,0,69,114,0,0,strong,moderate,Protecting Academic Freedom in Higher Education Act
